file_id;id;class
1;1;2
1;2;2
1;3;2
1;4;2
1;5;7
1;6;30
1;7;30
1;8;30
1;9;30
1;10;30
1;11;30
1;12;30
1;13;30
1;14;30
1;15;30
1;16;30
1;17;30
1;18;30
1;19;30
1;20;30
1;21;30
1;22;30
1;23;30
1;24;30
1;25;30
1;26;30
1;27;30
1;28;2
1;29;30
1;30;30
1;31;30
1;32;30
1;33;30
1;34;22
1;35;31
1;36;24
1;37;32
1;38;27
1;39;24
1;40;24
1;41;24
1;42;36
1;43;24
1;44;24
1;45;25
1;46;24
1;47;26
1;48;27
1;49;36
1;50;36
1;51;36
1;52;36
1;53;18
1;54;11
1;55;24
1;56;11
1;57;19
1;58;19
1;59;19
1;60;19
1;61;20
1;62;21
1;63;21
1;64;21
1;65;21
1;66;35
1;67;29
1;68;28
1;69;37
1;70;38
1;71;38
1;72;38
1;73;38
1;74;17
1;75;15
1;76;35
1;77;27
1;78;15
1;79;15
1;80;15
1;81;16
1;82;16
1;83;35
1;84;16
1;85;16
1;86;16
1;87;16
1;88;16
1;89;35
1;90;16
1;91;11
1;92;11
1;93;11
1;94;11
1;95;11
1;96;12
1;97;11
1;98;11
1;99;11
1;100;17
1;101;17
1;102;17
1;103;17
1;104;17
1;105;24
1;106;24
1;107;35
1;108;24
1;109;24
1;110;31
1;111;36
1;112;24
1;113;38
1;114;24
1;115;28
1;116;29
1;117;26
1;118;24
1;119;24
1;120;35
1;121;35
1;122;27
1;123;24
1;124;24
1;125;22
1;126;38
1;127;22
1;128;22
1;129;13
1;130;22
1;131;15
1;132;15
1;133;35
1;134;35
1;135;21
1;136;21
1;137;21
1;138;4
1;139;4
1;140;29
1;141;28
1;142;11
1;143;2
1;144;29
1;145;37
1;146;38
1;147;38
1;148;38
1;149;38
1;150;38
1;151;36
1;152;36
1;153;36
1;154;36
1;155;36
1;156;35
1;157;36
1;158;35
1;159;38
1;160;38
1;161;38
1;162;2
1;163;35
1;164;20
2;1;2
2;2;2
2;3;4
2;4;2
2;5;7
2;6;4
2;7;37
2;8;19
2;9;19
2;10;19
2;11;19
2;12;20
2;13;15
2;14;21
2;15;21
2;16;15
2;17;18
2;18;11
2;19;11
2;20;11
2;21;11
2;22;11
2;23;4
2;24;24
2;25;30
2;26;22
2;27;24
2;28;36
2;29;24
2;30;31
2;31;25
2;32;36
2;33;27
2;34;35
2;35;29
2;36;37
2;37;38
2;38;38
2;39;38
2;40;36
2;41;38
2;42;7
2;43;15
2;44;7
2;45;15
2;46;15
2;47;7
2;48;7
2;49;7
2;50;15
2;51;15
2;52;10
2;53;19
2;54;19
2;55;12
2;56;19
2;57;19
2;58;19
2;59;30
2;60;2
2;61;38
2;62;16
2;63;15
2;64;15
2;65;35
2;66;15
2;67;16
2;68;15
2;69;15
2;70;20
2;71;21
2;72;19
2;73;19
2;74;22
2;75;20
2;76;21
2;77;21
2;78;21
2;79;21
2;80;29
2;81;28
2;82;37
2;83;38
2;84;38
2;85;38
2;86;27
2;87;27
2;88;27
2;89;38
2;90;38
2;91;38
2;92;38
2;93;38
2;94;7
3;1;2
3;2;2
3;3;2
3;4;2
3;5;27
3;6;4
3;7;30
3;8;8
3;9;7
3;10;27
3;11;27
3;12;27
3;13;27
3;14;27
3;15;27
3;16;27
3;17;3
3;18;2
3;19;8
3;20;2
3;21;2
3;22;6
3;23;15
3;24;3
3;25;35
3;26;10
3;27;10
3;28;10
3;29;27
3;30;10
3;31;10
3;32;10
3;33;10
3;34;10
3;35;10
3;36;10
3;37;10
3;38;10
3;39;10
3;40;7
3;41;15
3;42;4
3;43;24
3;44;24
3;45;11
3;46;24
3;47;24
3;48;25
3;49;3
3;50;22
3;51;24
3;52;24
3;53;36
3;54;36
3;55;24
3;56;7
3;57;11
3;58;11
3;59;11
3;60;35
3;61;11
3;62;11
3;63;11
3;64;11
3;65;24
3;66;19
3;67;11
3;68;19
3;69;19
3;70;35
3;71;18
3;72;22
3;73;22
3;74;27
3;75;13
3;76;12
3;77;24
3;78;36
3;79;37
3;80;38
3;81;38
3;82;38
3;83;38
3;84;35
4;1;2
4;2;2
4;3;2
4;4;2
4;5;1
4;6;30
4;7;4
4;8;27
4;9;27
4;10;30
4;11;22
4;12;35
4;13;30
4;14;4
4;15;22
4;16;3
4;17;2
4;18;2
4;19;7
4;20;30
4;21;24
4;22;30
4;23;30
4;24;33
4;25;24
4;26;24
4;27;24
4;28;2
4;29;30
4;30;27
4;31;24
4;32;24
4;33;2
4;34;24
4;35;32
4;36;27
4;37;24
4;38;38
4;39;38
4;40;31
4;41;24
4;42;24
4;43;38
4;44;10
4;45;25
4;46;24
4;47;18
4;48;11
4;49;11
4;50;11
4;51;11
4;52;11
4;53;11
4;54;11
4;55;19
4;56;19
4;57;19
4;58;19
4;59;13
4;60;21
4;61;21
4;62;21
4;63;21
4;64;20
4;65;19
4;66;19
4;67;19
4;68;19
4;69;19
4;70;19
4;71;22
4;72;28
4;73;29
4;74;38
4;75;38
4;76;38
5;1;2
5;2;2
5;3;1
5;4;4
5;5;4
5;6;4
5;7;4
5;8;35
5;9;4
5;10;3
5;11;3
5;12;4
5;13;35
5;14;3
5;15;23
5;16;19
5;17;19
5;18;19
5;19;19
5;20;19
5;21;19
5;22;35
5;23;19
5;24;2
5;25;31
5;26;24
5;27;24
5;28;24
5;29;24
5;30;24
5;31;24
5;32;2
5;33;12
5;34;30
5;35;36
5;36;24
5;37;31
5;38;38
5;39;38
5;40;24
5;41;24
5;42;11
5;43;11
5;44;11
5;45;11
5;46;26
5;47;19
5;48;19
5;49;19
5;50;24
5;51;19
5;52;13
5;53;27
5;54;6
5;55;4
5;56;35
5;57;22
5;58;35
5;59;29
5;60;28
5;61;30
5;62;37
5;63;38
5;64;38
5;65;38
5;66;38
5;67;36
5;68;36
5;69;36
5;70;36
5;71;35
5;72;37
5;73;38
6;1;2
6;2;21
6;3;4
6;4;5
6;5;4
6;6;4
6;7;2
6;8;4
6;9;7
6;10;10
6;11;30
6;12;30
6;13;30
6;14;24
6;15;30
6;16;35
6;17;35
6;18;24
6;19;24
6;20;38
6;21;21
6;22;32
6;23;24
6;24;25
6;25;24
6;26;12
6;27;23
6;28;22
6;29;25
6;30;19
6;31;19
6;32;22
6;33;37
6;34;21
6;35;21
6;36;21
6;37;21
6;38;21
6;39;18
6;40;11
6;41;11
6;42;13
6;43;13
6;44;38
6;45;15
6;46;15
6;47;21
6;48;20
6;49;20
6;50;15
6;51;7
6;52;15
6;53;7
6;54;7
6;55;15
6;56;24
6;57;24
6;58;32
6;59;35
6;60;28
6;61;27
6;62;35
6;63;37
6;64;38
6;65;38
6;66;13
6;67;19
6;68;14
6;69;35
6;70;35
6;71;26
7;1;2
7;2;1
7;3;30
7;4;27
7;5;7
7;6;4
7;7;5
7;8;6
7;9;15
7;10;18
7;11;11
7;12;11
7;13;11
7;14;11
7;15;11
7;16;22
7;17;7
7;18;10
7;19;10
7;20;10
7;21;10
7;22;10
7;23;10
7;24;10
7;25;10
7;26;10
7;27;10
7;28;10
7;29;10
7;30;17
7;31;17
7;32;17
7;33;17
7;34;17
7;35;19
7;36;19
7;37;36
7;38;19
7;39;13
7;40;19
7;41;32
7;42;21
7;43;17
7;44;21
7;45;21
7;46;19
7;47;19
7;48;19
7;49;19
7;50;19
7;51;19
7;52;19
7;53;15
7;54;15
7;55;15
7;56;20
7;57;21
7;58;21
7;59;21
7;60;21
7;61;17
7;62;22
7;63;21
7;64;20
7;65;21
7;66;21
7;67;21
7;68;28
7;69;29
7;70;36
8;1;2
8;2;35
